"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1913835616069894225","Sun Apr 20 23:03:40 +0000 2025","0","@ekraf_ri @jumbofilm_id trus langkah pemerintah selanjutnya apaa ??? udah punya perencanaaan jangka pendek dan jangka panjangnya blon ??? klo cuman menunggangi hypenya film animasi jumbo ini mending bubar aja itu kementeriannya....","1914092633917673898","","ekraf_ri","in","Tokaiyo Jupun","0","0","0","https://x.com/MNKholizt/status/1914092633917673898","232406943","MNKholizt"
"1914086765687693369","Sun Apr 20 22:40:21 +0000 2025","0","Profil Ryan Adriandhy: Juara Komika yang Sukses jadi Sutradara Film Animasi Jumbo https://t.co/q4ZD4ymkQV","1914086765687693369","","","in","Bogor, Indonesia","0","0","0","https://x.com/MediaVoi/status/1914086765687693369","1578222594","MediaVoi"
"1913451673470800035","Sun Apr 20 22:13:13 +0000 2025","0","@tekarok007 Kontribusi ke film animasi Indonesia ga pernah selalu mendorong penggunaan AI (dalam video dan fanart) tau² banggain Jumbo yg dibuat oleh ratusan kreator? Keliatan bgt FOMOnyaa Endingnya di video jg ttp maksain AI aelah sulit.....","1914079934970212525","","tekarok007","in","","0","0","0","https://x.com/pvunce/status/1914079934970212525","781175338256572416","pvunce"
"1914071674615681268","Sun Apr 20 21:40:23 +0000 2025","0","JUMBO Jadi Animasi Terlaris di Indonesia #ブルアカらいぶすぷりんぐSP https://t.co/68QrOd0wmh","1914071674615681268","","","in","","0","0","0","https://x.com/nurimanjurnalis/status/1914071674615681268","1605763298859057152","nurimanjurnalis"
"1913901515309203493","Sun Apr 20 20:46:52 +0000 2025","1","@JukiHoki Yang penting smoga jangan stop di jumbo doang smoga lebih banyak film animasi indonesia lain yang cukup bersaing setelah ini","1914058205766009166","","JukiHoki","in","","0","0","0","https://x.com/Mogankyo/status/1914058205766009166","158022702","Mogankyo"
"1914025036148822446","Sun Apr 20 18:35:04 +0000 2025","0","ngomongin orang? nope ngomongin karakter film animasi anak? YESS HAHAHAHAHA SESERIUS ITU BAHAS JUMBO PLSSSS https://t.co/PDuD6x5KI9","1914025036148822446","https://pbs.twimg.com/media/Go_7nsibYAAWycd.jpg","","in","Bumi","0","1","0","https://x.com/otwjadimanusia/status/1914025036148822446","1214751735941517312","otwjadimanusia"
"1913835616069894225","Sun Apr 20 18:32:32 +0000 2025","0","@ekraf_ri @jumbofilm_id Animator si Jumbo pake semua buat bikin animasi di Kementerian dan lembaga Nasional ya jangan ngandelin AI aja ","1914024401902964864","","ekraf_ri","in","","0","0","0","https://x.com/vixhd/status/1914024401902964864","111473555","vixhd"
"1913832427505717612","Sun Apr 20 18:31:18 +0000 2025","0","@PetrolWeeb Aku liat videonya yg kisaran 1 menit bkn aslinya? Sorry aku beneran ga tahu. Tapi apa yang aneh dr video wapres yg cmn ngucapin rasa bangga dan ngasih apresiasi atas suksesnya animasi Jumbo?","1914024089687392586","","PetrolWeeb","in","","0","0","0","https://x.com/Zoldiazk/status/1914024089687392586","1649811244478771201","Zoldiazk"
"1914022431385436638","Sun Apr 20 18:24:43 +0000 2025","1","Se di apresiasinya animasi jumbo di indonesia coy...","1914022431385436638","","","in","","0","0","0","https://x.com/hemoglo0bin/status/1914022431385436638","1296280303493816321","hemoglo0bin"
"1914011184216551510","Sun Apr 20 17:43:00 +0000 2025","0","@A_FionyJKT48 skrng jumbo sih cee bukn nya dari film animasi indonesia aja tpi cerita di dalam film nya itu gokil bgt mungkin banyak yang mengalami kayak giru","1914011936246927760","","A_FionyJKT48","in","Indonesia","0","0","0","https://x.com/_lalalalapan/status/1914011936246927760","1349943572871614464","_lalalalapan"
"1914008903089791001","Sun Apr 20 17:32:37 +0000 2025","0","udah sampe bisa bikin film animasi sebagus jumbo loh tapi masih aja pake ai ajg najis najis","1914009323011015032","","youutopiaa","in","","0","0","0","https://x.com/youutopiaa/status/1914009323011015032","1689478036721397760","youutopiaa"
"1914006326663086146","Sun Apr 20 17:20:43 +0000 2025","0","sebagai yg tau lu dari malam minggu miko dan suci 1 ikutan bangga sama viralnya jumbo ga sia sia ya bang lu sempet menghilang dari dunia stand up buat fokus ke animasi pada saat itu","1914006326663086146","","","in","☠️","0","0","0","https://x.com/enicmat/status/1914006326663086146","1478167586760114176","enicmat"
